id;navn
484;Albertslund
493;Allerød
523;Assens
477;Ballerup
533;Billund
520;Bornholm
478;Brøndby
565;Brønderslev
522;Christiansø
479;Dragør
499;Egedal
536;Esbjerg
537;Fanø
551;Favrskov
509;Faxe
494;Fredensborg
541;Fredericia
476;Frederiksberg
566;Frederikshavn
500;Frederikssund
492;Furesø
524;Faaborg-Midtfyn
480;Gentofte
481;Gladsaxe
482;Glostrup
501;Greve
506;Gribskov
518;Guldborgsund
532;Haderslev
503;Halsnæs
560;Hedensted
495;Helsingør
483;Herlev
545;Herning
496;Hillerød
573;Hjørring
508;Holbæk
546;Holstebro
542;Horsens
485;Hvidovre
486;Høje Taastrup
497;Hørsholm
558;Ikast-Brande
489;Ishøj
571;Jammerbugt
510;Kalundborg
525;Kerteminde
543;Kolding
475;København
502;Køge
530;Langeland
515;Lejre
547;Lemvig
516;Lolland
487;Lyngby-Taarbæk
568;Læsø
570;Mariagerfjord
521;Middelfart
561;Morsø
550;Norddjurs
529;Nordfyns
526;Nyborg
517;Næstved
552;Odder
527;Odense
507;Odsherred
553;Randers
569;Rebild
559;Ringkøbing-Skjern
511;Ringsted
504;Roskilde
498;Rudersdal
488;Rødovre
555;Samsø
554;Silkeborg
556;Skanderborg
562;Skive
512;Slagelse
505;Solrød
514;Sorø
513;Stevns
548;Struer
528;Svendborg
549;Syddjurs
534;Sønderborg
563;Thisted
535;Tønder
490;Tårnby
491;Vallensbæk
538;Varde
539;Vejen
544;Vejle
567;Vesthimmerlands
564;Viborg
519;Vordingborg
531;Ærø
540;Aabenraa
572;Aalborg
557;Århus
