Artsid,Artsnavn,Latin,Kategori
00020,Rødstrubet Lom,Gavia stellata,Alm
00029,Rødstrubet Lom/Sortstrubet Lom,Gavia stellata/G. arctica,Alm
00030,Sortstrubet Lom,Gavia arctica,Alm
00033,Stillehavslom,Gavia pacifica,SU
00040,Islom,Gavia immer,SUB
00049,Islom/Hvidnæbbet Lom,Gavia immer/G. adamsii,Alm
00050,Hvidnæbbet Lom,Gavia adamsii,SUB
00059,Lom sp.,Gaviidae,Alm
00070,Lille Lappedykker,Tachybaptus ruficollis,Alm
00090,Toppet Lappedykker,Podiceps cristatus,Alm
00099,Toppet Lappedykker/Gråstrubet Lappedykker,Podiceps cristatus/P. grisegena,Alm
00100,Gråstrubet Lappedykker,Podiceps grisegena,Alm
00110,Nordisk Lappedykker,Podiceps auritus,Alm
00119,Nordisk Lappedykker/Sorthalset Lappedykker,Podiceps auritus/P. nigricollis,Alm
00120,Sorthalset Lappedykker,Podiceps nigricollis,Alm
00139,Lappedykker sp.,Podicipedidae,Alm
00140,Sortbrynet Albatros,Thalassarche melanophris,SU
00220,Mallemuk,Fulmarus glacialis,Alm
00259,Madeira/Kap Verde/Desertas Petrel,Pterodroma madeira/feae/deserta,Alm
00360,Atlantisk Skråpe/Scopolis Skråpe,Calonectris borealis/C. diomedea,Alm
00361,Scopolis Skråpe,Calonectris diomedea,SU
00362,Atlantisk Skråpe,Calonectris borealis,SU
00369,Atlantisk/Scopolis/Storskråpe,Calonectris borealis/C. diomedea/Puffinus gravis,Alm
00400,Storskråpe,Ardenna gravis,SU
00430,Sodfarvet Skråpe,Ardenna grisea,SUB
00455,Middelhavsskråpe, Balearisk (ssp. mauretanicus),Puffinus yelkouan mauretanicus,SU
00459,Middelhavsskråpe/Almindelig Skråpe,Puffinus yelkouan/P. puffinus,Alm
00460,Almindelig Skråpe,Puffinus puffinus,SUB
00499,Skråpe sp.,Procellariidae,Alm
00520,Lille Stormsvale,Hydrobates pelagicus,SUB
00550,Stor Stormsvale,Hydrobates leucorhous,SUB
00639,Stormsvale sp.,Hydrobatidae,Alm
00700,Brun Sule,Sula leucogaster,SU
00710,Sule,Morus bassanus,Alm
00720,Skarv,Phalacrocorax carbo,Alm
