artsid;artsnavn;content
34130;[Afrikansk Skestork];0
03070;Aftenfalk;1
03670;Agerhøne;1
00209;Albatros sp.;0
07120;[Alexanderparakit];1
06360;Alk;1
06569;Alkefugl sp.;0
06362;Alk, Atlantisk (ssp. islandica);0
06361;Alk, Nordlig (ssp. torda);0
15600;Allike;1
15601;Allike, Almindelig (ssp. monedula);0
15602;Allike, Halsbåndsallike (ssp. soemmerringii);0
15603;Allike, Vestlig (ssp. spermologus);0
05670;Almindelig Kjove;1
05679;Almindelig Kjove/Lille Kjove;0
05120;Almindelig Ryle;1
05123;Almindelig Ryle, Engryle (ssp. schinzii);0
05121;Almindelig Ryle, Nordlig (ssp. alpina);0
00460;Almindelig Skråpe;1
10940;Alpejernspurv;0
07980;Alpesejler;0
02153;Amerikansk Fløjlsand;0
04840;Amerikansk Hjejle;0
04848;Amerikansk Hjejle/Sibirisk Hjejle;0
02615;Amerikansk Kærhøg;0
01800;Amerikansk Pibeand;0
01808;Amerikansk Pibeand x Pibeand (hybrid);0
00960;Amerikansk Rørdrum;0
02250;Amerikansk Skarveand;1
02265;Amerikansk Skarveand x Hvidhovedet And (hybrid);0
02132;Amerikansk Sortand;1
05630;Amerikansk Svømmesneppe;0
03050;Amerikansk Tårnfalk;0
09951;Amursvale;0
02269;Andefugl sp.;0
05919;Armensk Måge;0
02152;Asiatisk Fløjlsand;0
12700;Asiatisk Ørkensanger;0
00369;Atlantisk/Scopolis/Storskråpe;0
00362;Atlantisk Skråpe;0
00360;Atlantisk Skråpe/Scopolis Skråpe;0
01910;Atlingand;1
05880;Audouinsmåge;0
06120;Aztekerterne;0
05060;Bairdsryle;0
05440;Bartramsklire;0
02450;[Beringhavørn];0
08400;Biæder;1
02040;Bjergand;1
18670;Bjerghortulan;0
16620;Bjergirisk;1
09780;Bjerglærke;1
13070;Bjergløvsanger;0
13079;Bjergløvsanger/Balkanløvsanger;0
10140;Bjergpiber;1
10144;Bjergpiber/Skærpiber;0
10190;Bjergvipstjert;1
12550;Bleg Gulbug;0
01590;Blisgås;1
01599;Blisgås/Dværggås;0
01592;Blisgås, Grønlandsk (ssp. flavirostris);0
01591;Blisgås (ssp. albifrons);0
01594;Blisgås x Bramgås (hybrid);0
01595;Blisgås x Rødhalset Gås (hybrid);0
04290;Blishøne;1
04298;Blishøne x Rørhøne (hybrid);0
11060;Blåhals;1
11061;Blåhals, Nordlig (ssp. svecica);0
11062;Blåhals, Sydlig (ssp. cyanecula);0
14620;Blåmejse;1
11130;Blåstjert;0
01920;Blåvinget And;0
02350;Blå Glente;0
02610;Blå Kærhøg;1
02619;Blå Kærhøg x Steppehøg (hybrid);0
16360;Bogfinke;1
16388;Bogfinke/Kvækerfinke;0
18820;Bomlærke;1
05810;Bonapartemåge;0
04689;Braksvale sp.;0
01670;Bramgås;1
01677;Bramgås x Dværgcanadagås (hybrid);0
01678;Bramgås x Dværggås (hybrid);0
01679;Bramgås x Rødhalset Gås (hybrid);0
02140;Brilleand;1
06220;Brilleterne;0
13490;Broget Fluesnapper;1
15700;[Broget Krage];0
04939;Brokfugl sp.;0
01770;[Brudeand];0
11962;Brundrossel;0
18800;Brunhovedet Værling;0
18809;Brunhovedet Værling/Hætteværling;0
16500;[Brunirisk];0
13340;Brun Fluesnapper;0
13030;Brun Løvsanger;1
00700;Brun Sule;0
15130;Brun Tornskade;0
05170;Brushane;1
24997;Burfugl sp.;0
12480;Buskrørsanger;1
11370;Bynkefugl;1
10010;Bysvale;1
02160;[Bøffeland];0
01660;Canadagås;1
01664;Canadagås x Bramgås (hybrid);0
01669;Canadagås x Grågås (hybrid);0
05330;Canadisk Kobbersneppe;0
01471;[Cariberflamingo];0
12200;Cettisanger;0
01475;[Chileflamingo];0
25800;[Chilepibeand];0
03550;[Chukarhøne];0
12260;Cistussanger;0
10180;Citronvipstjert;1
10181;Citronvipstjert x Gul Vipstjert (hybrid);0
05470;Damklire;1
09810;Digesvale;1
05190;Dobbeltbekkasin;1
17100;Dompap;1
17102;Dompap, Lille (ssp. europaea);0
17101;Dompap, Stor (ssp. pyrrhula);0
12530;Drosselrørsanger;1
12069;Drossel sp.;0
02670;Duehøg;1
02672;Duehøg, Russisk (ssp. buteoides);0
07069;Due sp.;0
01665;[Dværgcanadagås];0
03090;Dværgfalk;1
01600;Dværggås;1
00980;Dværghejre;0
07390;Dværghornugle;0
05780;Dværgmåge;1
05010;Dværgryle;1
05018;Dværgryle/Temmincksryle;0
04110;Dværgrørvagtel;0
00820;Dværgskarv;0
01640;Dværgsnegås;0
01645;Dværgsnegås x Bramgås (hybrid);0
06240;Dværgterne;1
04420;Dværgtrappe;0
18740;Dværgværling;1
02980;Dværgørn;0
02058;Dykand hybrid;0
02059;Dykand sp. (Aythya sp.);0
02060;Ederfugl;1
02063;Ederfugl, Arktisk (ssp. borealis);0
03110;Eleonorafalk;0
08410;Ellekrage;1
10110;Engpiber;1
04210;Engsnarre;1
