artsid;artsnavn;klassifikation
20;Rødstrubet Lom;Alm
29;Rødstrubet Lom/Sortstrubet Lom;Alm
30;Sortstrubet Lom;Alm
33;Stillehavslom;SU
40;Islom;SUB
49;Islom/Hvidnæbbet Lom;Alm
50;Hvidnæbbet Lom;SUB
59;Lom sp.;Alm
70;Lille Lappedykker;Alm
90;Toppet Lappedykker;Alm
99;Toppet Lappedykker/Gråstrubet Lappedykker;Alm
100;Gråstrubet Lappedykker;Alm
110;Nordisk Lappedykker;Alm
119;Nordisk Lappedykker/Sorthalset Lappedykker;Alm
120;Sorthalset Lappedykker;Alm
139;Lappedykker sp.;Alm
140;Sortbrynet Albatros;SU
209;Albatros sp.;Alm
220;Mallemuk;Alm
259;Madeira/Kap Verde/Desertas Petrel;Alm
360;Atlantisk Skråpe/Scopolis Skråpe;Alm
361;Scopolis Skråpe;SU
362;Atlantisk Skråpe;SU
369;Atlantisk/Scopolis/Storskråpe;Alm
400;Storskråpe;SU
430;Sodfarvet Skråpe;SUB
455;Middelhavsskråpe, Balearisk (ssp. mauretanicus);SU
459;Middelhavsskråpe/Almindelig Skråpe;Alm
460;Almindelig Skråpe;SUB
462;Middelhavsskråpe;SU
490;Tropeskråpe;SU
499;Skråpe sp.;Alm
500;Wilsons Stormsvale;SU
520;Lille Stormsvale;SUB
550;Stor Stormsvale;SUB
639;Stormsvale sp.;Alm
700;Brun Sule;SU
710;Sule;Alm
720;Skarv;Alm
721;Skarv, Storskarv (ssp. carbo);Alm
722;Skarv, Mellemskarv (ssp. sinensis);Alm
800;Topskarv;SUB
820;Dværgskarv;SU
849;Skarv sp.;Alm
880;[Hvid Pelikan];Alm
890;Krøltoppet Pelikan;SU
900;[Rosapelikan];Alm
919;Pelikan sp.;Alm
930;Pragtfregatfugl;SU
950;Rørdrum;Alm
960;Amerikansk Rørdrum;SU
980;Dværghejre;SU
1040;Nathejre;SU
1080;Tophejre;SU
1110;Kohejre;SUB
1190;Silkehejre;SUB
1210;Sølvhejre;Alm
1219;Hejre sp. (hvid);Alm
1220;Fiskehejre;Alm
1240;Purpurhejre;SU
1259;Hejre sp.;Alm
1310;Sort Stork;SUB
1340;Hvid Stork;Alm
1359;Stork sp.;Alm
1360;Sort Ibis;SUB
1370;[Eremitibis];Alm
1420;[Hellig Ibis];Alm
1440;Skestork;Alm
1470;Stor Flamingo/Cariberflamingo;Alm
1471;[Cariberflamingo];Alm
1472;[Stor Flamingo];Alm
1475;[Chileflamingo];Alm
1480;[Lille Flamingo];Alm
1489;Flamingo sp.;Alm
1520;Knopsvane;Alm
1525;Sortsvane;Alm
1526;[Sorthalset Svane];Alm
1530;Pibesvane;Alm
1539;Pibesvane/Sangsvane;Alm
1540;Sangsvane;Alm
1559;Svane sp.;Alm
1560;[Svanegås];Alm
1569;Svanegås x Grågås (hybrid);Alm
1570;Tajgasædgås/Tundrasædgås;Alm
1571;Tajgasædgås;Alm
1574;Tundrasædgås;Alm
1580;Kortnæbbet Gås;Alm
1590;Blisgås;Alm
1591;Blisgås (ssp. albifrons);Alm
1592;Blisgås, Grønlandsk (ssp. flavirostris);SUB
1594;Blisgås x Bramgås (hybrid);Alm
1595;Blisgås x Rødhalset Gås (hybrid);Alm
1599;Blisgås/Dværggås;Alm
1600;Dværggås;SUB
1610;Grågås;Alm
1615;Grågås x Blisgås (hybrid);Alm
1619;Grågås x Bramgås (hybrid);Alm
1620;Indisk Gås;Alm
1625;Indisk Gås X Grågås (hybrid);Alm
1626;Indisk Gås X Canadagås (hybrid);Alm
1627;Indisk Gås X Bramgås (hybrid);Alm
1630;[Snegås];Alm
1639;Snegås x Bramgås (hybrid);Alm
1640;Dværgsnegås;SU
1645;Dværgsnegås x Bramgås (hybrid);Alm
1650;[Kejsergås];Alm
1659;Grå Gås sp.;Alm
1660;Canadagås;Alm
1664;Canadagås x Bramgås (hybrid);Alm
1665;[Dværgcanadagås];Alm
1669;Canadagås x Grågås (hybrid);Alm
1670;Bramgås;Alm
1677;Bramgås x Dværgcanadagås (hybrid);Alm
1678;Bramgås x Dværggås (hybrid);Alm
1679;Bramgås x Rødhalset Gås (hybrid);Alm
1680;Knortegås;Alm
1681;Knortegås, Mørkbuget (ssp. bernicla);Alm
1682;Knortegås, Lysbuget (ssp. hrota);Alm
1683;Knortegås, Sortbuget (ssp. nigricans);SUB
1688;Knortegås, Mørkbuget x Sortbuget (hybrid);Alm
1689;Knortegås x Rødhalset Gås (hybrid);Alm
1690;Rødhalset Gås;SUB
1695;[Magellangås];Alm
1699;Rajgås sp.;Alm
1700;Nilgås;Alm
1709;Gås sp.;Alm
1710;Rustand;Alm
1714;Rustand x Gravand (hybrid);Alm
1730;Gravand;Alm
1750;[Moskusand];Alm
1770;[Brudeand];Alm
1780;Mandarinand;Alm
1790;Pibeand;Alm
1793;Pibeand x Krikand (hybrid);Alm
1794;Pibeand x Gråand (hybrid);Alm
1797;Pibeand x Knarand (hybrid);Alm
1798;Pibeand x Chilepibeand (hybrid);Alm
1799;Pibeand/Spidsand;Alm
1800;Amerikansk Pibeand;SU
1808;Amerikansk Pibeand x Pibeand (hybrid);Alm
1810;[Segland];Alm
1820;Knarand;Alm
1830;Sibirisk Krikand;SU
1840;Krikand;Alm
1843;Krikand x Gråand (hybrid);Alm
1844;Krikand x Amerikansk Krikand (hybrid);Alm
1845;Krikand, Amerikansk (ssp. carolinensis);SUB
1860;Gråand;Alm
1866;Gråand x Moskusand (hybrid);Alm
1867;Gråand x Ederfugl (hybrid);Alm
1868;Gråand x Troldand (hybrid);Alm
1869;Gråand x svømmeand sp. (hybrid);Alm
1870;Sortbrun And;SU
1890;Spidsand;Alm
1893;Spidsand x Pibeand (hybrid);Alm
1894;Spidsand x Gråand (hybrid);Alm
1895;Gråand x Knarand (hybrid);Alm
1910;Atlingand;Alm
1920;Blåvinget And;SU
1930;[Kaneland];Alm
1940;Skeand;Alm
1944;Skeand x Kaneland (hybrid);Alm
1946;Skeand x Blåvinget And (hybrid);Alm
1947;Skeand x Knarand (hybrid);Alm
1948;Skeand x Gråand (hybrid);Alm
1949;Svømmeand sp.;Alm
1950;[Marmorand];Alm
1960;Rødhovedet And;SUB
1969;Rødhovedet And x Taffeland (hybrid);Alm
1980;Taffeland;Alm
1989;Taffeland x Troldand (hybrid);Alm
2000;Halsbåndstroldand;SU
2005;Halsbåndstroldand x Troldand (hybrid);Alm
2020;Hvidøjet And;SUB
2028;Hvidøjet And x Troldand (hybrid);Alm
2029;Hvidøjet And x Taffeland (hybrid);Alm
2030;Troldand;Alm
2038;Troldand/Bjergand;Alm
2039;Troldand x Bjergand (hybrid);Alm
2040;Bjergand;Alm
2050;Lille Bjergand;SU
2051;Lille Bjergand x Troldand (hybrid);Alm
